===============================================================================
                 LIVING DEX GENERATION & AUDIT REPORT
===============================================================================
Date & Time : 2026-09-02 16:31:45
Game Version: US (Context: Gen7)
Trainer Info: OT = Oliverduds, TID = 63517, SID = 11102
Boxes Used  : Caixa 1 a Caixa 27 (807 Pokémon colocados)
Themed Balls: 540 | Gigantamax Factor: 0
-------------------------------------------------------------------------------
DETALHES DOS SLOTS GRAVADOS:
Box  1, Slot  1:   1 Bulbasaur          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot  2:   2 Ivysaur            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot  3:   3 Venusaur           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot  4:   4 Charmander         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot  5:   5 Charmeleon         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot  6:   6 Charizard          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot  7:   7 Squirtle           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot  8:   8 Wartortle          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot  9:   9 Blastoise          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 10:  10 Caterpie           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 11:  11 Metapod            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 12:  12 Butterfree         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  1, Slot 13:  13 Weedle             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 14:  14 Kakuna             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 15:  15 Beedrill           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 16:  16 Pidgey             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 17:  17 Pidgeotto          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 18:  18 Pidgeot            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 19:  19 Rattata            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 20:  20 Raticate           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 21:  21 Spearow            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 22:  22 Fearow             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 23:  23 Ekans              Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 24:  24 Arbok              Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 25:  25 Pikachu            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 26:  26 Raichu             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 27:  27 Sandshrew          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 28:  28 Sandslash          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 29:  29 Nidoran♀           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  1, Slot 30:  30 Nidorina           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot  1:  31 Nidoqueen          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot  2:  32 Nidoran♂           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot  3:  33 Nidorino           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot  4:  34 Nidoking           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot  5:  35 Clefairy           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot  6:  36 Clefable           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot  7:  37 Vulpix             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot  8:  38 Ninetales          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot  9:  39 Jigglypuff         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 10:  40 Wigglytuff         Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 11:  41 Zubat              Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 12:  42 Golbat             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 13:  43 Oddish             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 14:  44 Gloom              Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 15:  45 Vileplume          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  2, Slot 16:  46 Paras              Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 17:  47 Parasect           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 18:  48 Venonat            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 19:  49 Venomoth           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 20:  50 Diglett            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 21:  51 Dugtrio            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 22:  52 Meowth             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 23:  53 Persian            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 24:  54 Psyduck            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 25:  55 Golduck            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 26:  56 Mankey             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 27:  57 Primeape           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 28:  58 Growlithe          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 29:  59 Arcanine           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  2, Slot 30:  60 Poliwag            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot  1:  61 Poliwhirl          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot  2:  62 Poliwrath          Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot  3:  63 Abra               Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  3, Slot  4:  64 Kadabra            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  3, Slot  5:  65 Alakazam           Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/0/31/31/31/31
Box  3, Slot  6:  66 Machop             Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
Box  3, Slot  7:  67 Machoke            Lv.100 | Origin: SI     | Ball: Poke       | IVs: 31/31/31/31/31/31
